biological_instance_id,environment_id,environment_key,dataset_id,condition,condition_field,perturbation_label,dose,timepoint,n_reference_groups,total_cells,source_reference_keys,aggregation_rule,ground_truth_path,split,split_seed,model_seeds
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~armc6,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,ARMC6,,,1,281,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,validation,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~atp1a1,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,ATP1A1,,,1,10,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~atp1b1,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,ATP1B1,,,1,331,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~atp5md,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,ATP5MD,,,1,213,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~b2m,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,B2M,,,1,479,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~bola2,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,BOLA2,,,1,218,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~bola2b,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,BOLA2B,,,1,205,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~bzw2,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,BZW2,,,1,324,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~c19orf48,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,C19orf48,,,1,375,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~c1qbp,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,C1QBP,,,1,194,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,test,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~c6orf226,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,C6orf226,,,1,331,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,test,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~ccnd1,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CCND1,,,1,170,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~ccnd2,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CCND2,,,1,331,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~ccr10,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CCR10,,,1,328,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cct3,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CCT3,,,1,65,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cct6a,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CCT6A,,,1,21,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,validation,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cd151,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CD151,,,1,349,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cd274,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CD274,,,1,371,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,validation,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cd44,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CD44,,,1,418,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cd47,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CD47,,,1,306,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cd58,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CD58,,,1,465,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,test,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cd59,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CD59,,,1,403,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cd63,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CD63,,,1,290,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,validation,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cdc123,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CDC123,,,1,96,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cdh19,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CDH19,,,1,380,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cdk4,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CDK4,,,1,242,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cdk6,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CDK6,,,1,105,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,validation,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cdkn1a,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CDKN1A,,,1,357,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,test,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cdkn2a,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CDKN2A,,,1,270,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,test,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cdkn2b,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CDKN2B,,,1,315,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cgas,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CGAS,,,1,264,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~chchd2,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CHCHD2,,,1,339,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cited1,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CITED1,,,1,349,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cks1b,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CKS1B,,,1,292,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,test,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cmss1,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CMSS1,,,1,338,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,validation,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~coro1a,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CORO1A,,,1,260,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cspg4,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CSPG4,,,1,401,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~cst3,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CST3,,,1,220,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,validation,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~ctps1,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CTPS1,,,1,117,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~ctsa,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CTSA,,,1,297,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,test,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~ctsb,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CTSB,,,1,371,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,train,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~ctsd,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CTSD,,,1,408,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,validation,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~ctsl,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CTSL,,,1,295,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,validation,20261007,"0,1,2"
bio__v~env%5F%5Fv~frangiehizar2021%255frna%5F%5Fv~patient-derived%255fmelanoma%5F%5Fv~rna%5F%5Fv~co-culture__v~ctso,env__v~frangiehizar2021%5Frna__v~patient-derived%5Fmelanoma__v~rna__v~co-culture,frangieh_melanoma_coculture,FrangiehIzar2021_RNA,Co-culture,perturbation_2,CTSO,,,1,325,Co-culture,weighted_mean_of_batch_matched_deltas,data/processed/FrangiehIzar2021_RNA_condition_ground_truth.parquet,test,20261007,"0,1,2"
