perturbation_label,n_cells_qc,n_cells_with_nonmissing_guide_id,n_unique_guide_strings,n_unique_guide_tokens,median_guide_tokens_per_cell,fraction_multi_token_cells,fraction_cells_containing_target_token,guide_id_missing_fraction,environment_key,status
IRF3,284,284,65,74,1.0,0.25,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
IRF4,229,229,52,62,1.0,0.26200873362445415,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
ISYNA1,197,197,55,65,1.0,0.3248730964467005,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
ITGA3,265,265,62,69,1.0,0.25660377358490566,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
JAK1,477,477,99,103,1.0,0.24737945492662475,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
JAK2,528,528,114,116,1.0,0.24053030303030304,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
JMJD7,351,351,92,90,1.0,0.2962962962962963,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
JPT1,185,185,54,66,1.0,0.3081081081081081,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
KCNN4,264,264,60,63,1.0,0.2537878787878788,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
KDR,284,284,70,84,1.0,0.25704225352112675,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
KLF4,242,242,67,75,1.0,0.30165289256198347,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
LAMP2,301,301,67,71,1.0,0.2425249169435216,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
LCP1,303,303,61,63,1.0,0.24422442244224424,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
LEF1-AS1,288,288,68,74,1.0,0.2465277777777778,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
LGALS3,196,196,56,61,1.0,0.3112244897959184,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
LGALS3BP,218,218,42,46,1.0,0.2018348623853211,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
LINC00518,290,290,59,66,1.0,0.23103448275862068,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
LRPAP1,284,284,62,67,1.0,0.2323943661971831,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
LRRC75A-AS1,199,199,3,3,1.0,0.0,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
LY96,280,280,53,56,1.0,0.18928571428571428,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
MC1R,241,241,61,61,1.0,0.27385892116182575,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
MDH2,200,200,46,48,1.0,0.255,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
MFGE8,325,325,58,63,1.0,0.20307692307692307,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
MIA,271,271,76,84,1.0,0.3025830258302583,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
MRPL47,107,107,23,25,1.0,0.205607476635514,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
MT2A,183,183,40,42,1.0,0.23497267759562843,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
MYC,75,75,13,16,1.0,0.13333333333333333,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
NACA,31,31,12,15,1.0,0.3870967741935484,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
NCL,45,45,9,12,1.0,0.15555555555555556,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
NDUFA13,97,97,18,22,1.0,0.15463917525773196,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
NEAT1,215,215,38,40,1.0,0.20930232558139536,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
NGFR,203,203,48,51,1.0,0.2413793103448276,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
NME1,205,205,38,43,1.0,0.1902439024390244,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
NMRK1,253,253,55,58,1.0,0.22924901185770752,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
NOLC1,100,100,18,25,1.0,0.17,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
NONO,212,212,42,46,1.0,0.22641509433962265,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
NPC1,284,284,48,51,1.0,0.2007042253521127,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
NPC2,266,266,53,56,1.0,0.20676691729323307,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
NSG1,222,222,41,41,1.0,0.20270270270270271,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
NT5E,297,297,56,60,1.0,0.20875420875420875,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
NUP50-AS1,262,262,3,3,1.0,0.0,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
P2RX4,88,88,14,16,1.0,0.13636363636363635,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
PABPC1,85,85,15,18,1.0,0.15294117647058825,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
PAICS,61,61,10,10,1.0,0.11475409836065574,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
PET100,88,88,19,22,1.0,0.2159090909090909,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
PFDN4,220,220,44,44,1.0,0.20909090909090908,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
PFN1,120,120,27,28,1.0,0.23333333333333334,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
PIK3IP1,218,218,41,41,1.0,0.18807339449541285,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
POLD2,36,36,9,10,1.0,0.16666666666666666,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
PPA1,34,34,9,11,1.0,0.20588235294117646,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
PPIA,209,209,44,45,1.0,0.21052631578947367,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
PRELID3B,21,21,3,3,1.0,0.047619047619047616,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
PROS1,199,199,35,33,1.0,0.19597989949748743,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
PSAP,280,280,30,30,1.0,0.10357142857142858,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
PSMA7,11,11,5,5,1.0,0.18181818181818182,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
PSMB8-AS1,216,216,32,34,1.0,0.1712962962962963,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
PTMA,259,259,40,39,1.0,0.16602316602316602,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
PUF60,70,70,12,12,1.0,0.14285714285714285,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
PYGB,179,179,26,28,1.0,0.13966480446927373,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
RAB27A,249,249,35,35,1.0,0.15261044176706828,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
RACK1,8,8,6,8,2.0,0.625,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
RB1,301,301,50,51,1.0,0.1760797342192691,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
RBP7,240,240,33,33,1.0,0.14166666666666666,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
RNASEH2A,58,58,12,12,1.0,0.15517241379310345,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
RNF213,205,205,37,37,1.0,0.2,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
ROMO1,45,45,9,9,1.0,0.15555555555555556,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
RPSA,120,120,7,8,1.0,0.03333333333333333,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
RRS1,66,66,14,15,1.0,0.19696969696969696,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
RTP4,281,281,47,50,1.0,0.17793594306049823,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
RUVBL2,20,20,5,7,1.0,0.15,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
S100A6,239,239,34,34,1.0,0.13389121338912133,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
S100B,215,215,35,37,1.0,0.1813953488372093,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SAE1,34,34,6,7,1.0,0.08823529411764706,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SAT1,212,212,33,30,1.0,0.15566037735849056,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SCARB2,213,213,36,36,1.0,0.1643192488262911,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SDC3,269,269,27,27,1.0,0.10037174721189591,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SDCBP,243,243,32,31,1.0,0.13168724279835392,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SEC11C,220,220,25,29,1.0,0.10454545454545454,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SERPINA3,182,182,27,27,1.0,0.14285714285714285,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SERPINE2,189,189,31,33,1.0,0.19047619047619047,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SERPINF1,235,235,27,27,1.0,0.10212765957446808,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SET,166,166,20,21,1.0,0.10843373493975904,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SGK1,210,210,18,18,1.0,0.09047619047619047,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SHMT2,156,156,24,26,1.0,0.16025641025641027,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SINHCAF,125,125,37,52,1.0,0.32,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SLC19A1,191,191,23,24,1.0,0.1099476439790576,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SLC22A18,293,293,39,36,1.0,0.13651877133105803,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SLC25A13,256,256,36,39,1.0,0.15234375,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SLC26A2,247,247,21,22,1.0,0.08906882591093117,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SLC5A3,260,260,25,27,1.0,0.09230769230769231,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SLC7A5P1,197,197,22,24,1.0,0.116751269035533,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SLIRP,148,148,19,17,1.0,0.10810810810810811,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SMAD3,272,272,30,28,1.0,0.12867647058823528,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SMAD4,210,210,27,25,1.0,0.1523809523809524,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SNHG6,198,198,19,18,1.0,0.1111111111111111,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SNRPE,11,11,3,3,1.0,0.0,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SNRPF,12,12,3,3,1.0,0.08333333333333333,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SNRPG,26,26,6,6,1.0,0.15384615384615385,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SOX4,220,220,17,16,1.0,0.09545454545454546,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SP100,237,237,22,25,1.0,0.08860759493670886,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SPESP1,225,225,12,13,1.0,0.04,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SPINT1,235,235,16,17,1.0,0.07659574468085106,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
SSR2,152,152,16,17,1.0,0.11842105263157894,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
ST3GAL6-AS1,221,221,23,21,1.0,0.11764705882352941,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
ST6GALNAC2,157,157,18,18,1.0,0.10828025477707007,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
STAT1,384,384,25,25,1.0,0.06770833333333333,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
STAT3,191,191,14,14,1.0,0.07853403141361257,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
STOM,235,235,18,15,1.0,0.07659574468085106,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
STX7,212,212,17,17,1.0,0.08018867924528301,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TAPBP,168,168,14,14,1.0,0.07738095238095238,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TAPBPL,235,235,13,14,1.0,0.05106382978723404,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TFAP2A,234,234,19,19,1.0,0.09401709401709402,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TGFB1,269,269,22,22,1.0,0.08550185873605948,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TIMM50,106,106,9,9,1.0,0.0660377358490566,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TIMP1,239,239,13,13,1.0,0.058577405857740586,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TIMP2,161,161,16,16,1.0,0.08695652173913043,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TIMP3,202,202,13,14,1.0,0.04950495049504951,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TM4SF1,217,217,9,9,1.0,0.03225806451612903,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TMED10,43,43,6,6,1.0,0.06976744186046512,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TMEM173,217,217,9,8,1.0,0.027649769585253458,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TOP1MT,189,189,8,9,1.0,0.037037037037037035,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TP53,191,191,8,8,1.0,0.031413612565445025,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TPP1,206,206,12,11,1.0,0.043689320388349516,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TPRKB,74,74,6,6,1.0,0.04054054054054054,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TRIM22,161,161,4,4,1.0,0.006211180124223602,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TSC22D3,257,257,13,11,1.0,0.042801556420233464,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TTLL1,233,233,9,9,1.0,0.02575107296137339,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TUBB,5,5,2,2,1.0,0.0,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
TXNDC17,144,144,6,6,1.0,0.020833333333333332,1.0,0.0,frangieh_melanoma_coculture,audit_only_not_primary
