panel_id,gene_index,gene_symbol,source_gene_universe,source_sha256
ptl_context_v2_intersection,50,ACADSB,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,51,ACADVL,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,52,ACAP2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,53,ACAP3,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,54,ACAT1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,55,ACAT2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,56,ACBD3,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,57,ACBD5,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,58,ACBD6,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,59,ACD,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,60,ACER3,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,61,ACIN1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,62,ACLY,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,63,ACO1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,64,ACO2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,65,ACOT13,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,66,ACOT7,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,67,ACOT8,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,68,ACOT9,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,69,ACOX1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,70,ACP1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,71,ACP2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,72,ACSF3,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,73,ACSL3,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,74,ACSL4,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,75,ACTB,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,76,ACTG1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,77,ACTL6A,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,78,ACTN1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,79,ACTN4,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,80,ACTR10,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,81,ACTR1A,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,82,ACTR1B,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,83,ACTR2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,84,ACTR3,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,85,ACTR6,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,86,ACTR8,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,87,ACY1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,88,ACYP1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,89,ACYP2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,90,ADAL,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,91,ADAM10,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,92,ADAM15,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,93,ADAM17,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,94,ADAM9,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,95,ADAR,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,96,ADAT1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,97,ADCK2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,98,ADD1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,99,ADD3,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,100,ADGRA3,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,101,ADGRE5,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,102,ADH5,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,103,ADI1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,104,ADIPOR1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,105,ADIPOR2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,106,ADK,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,107,ADNP,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,108,ADNP2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,109,ADO,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,110,ADPGK,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,111,ADPRHL2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,112,ADRM1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,113,ADSL,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,114,ADSS,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,115,AEBP2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,116,AEN,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,117,AFF1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,118,AFF3,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,119,AFF4,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,120,AFG3L2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,121,AFMID,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,122,AFTPH,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,123,AGAP1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,124,AGAP3,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,125,AGBL5,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,126,AGFG1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,127,AGGF1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,128,AGK,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,129,AGL,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,130,AGO1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,131,AGO2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,132,AGO3,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,133,AGPAT1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,134,AGPAT2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,135,AGPAT3,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,136,AGPAT4,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,137,AGPAT5,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,138,AGPS,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,139,AGTPBP1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,140,AGTRAP,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,141,AHCTF1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,142,AHCY,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,143,AHCYL1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,144,AHDC1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,145,AHI1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,146,AHNAK,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,147,AHSA1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,148,AIDA,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,149,AIFM1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,150,AIFM2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,151,AIMP1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,152,AIMP2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,153,AIP,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,154,AK1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,155,AK2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,156,AK4,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,157,AK6,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,158,AKAP1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,159,AKAP10,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,160,AKAP11,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,161,AKAP13,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,162,AKAP17A,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,163,AKAP8,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,164,AKAP8L,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,165,AKAP9,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,166,AKIP1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,167,AKIRIN1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,168,AKIRIN2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,169,AKR1A1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,170,AKR7A2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,171,AKT1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,172,AKT1S1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,173,AKT2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,174,ALAS1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,175,ALDH16A1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,176,ALDH18A1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,177,ALDH1B1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,178,ALDH2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,179,ALDH9A1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,180,ALDOA,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,181,ALG1,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,182,ALG12,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,183,ALG13,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,184,ALG14,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,185,ALG2,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,186,ALG3,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
ptl_context_v2_intersection,187,ALG5,context_benchmark_v2,0c5b9ab784e4b289ea6c9aa61d3a8656506d890ad4d266f535606533a67727d1
