prediction_id,biological_instance_id,environment_id,predictor,fidelity_delta_cosine,continuous_risk,reliable_label,legacy_transportability_label,legacy_target_risk
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__tbx3-tbx2__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__tbx3-tbx2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.40433648,0.29783177,0,0.0,0.6049131283802469
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__plk4__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__plk4,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.18516207,0.40741897,0,0.0,0.8178062213497703
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__slc6a9__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__slc6a9,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.20047931,0.39976037,0,0.0,0.7945980220698946
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cnnm4__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__cnnm4,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.20448245,0.39775878,0,0.0,0.7945307197529816
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__klf1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__klf1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,-0.12730227,0.56365114,0,0.0,1.121998796806092
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__egr1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__egr1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.34774795,0.32612604,0,0.0,0.6565734756594297
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__meis1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__meis1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.21859802,0.390701,0,0.0,0.7818382559778013
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__tbx2__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__tbx2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.257697,0.3711515,0,0.0,0.7463330723216445
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cdkn1b-cdkn1a__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__cdkn1b-cdkn1a,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.4383643,0.28081787,0,0.0,0.5658869639757074
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ets2-prtg__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__ets2-prtg,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.30411285,0.34794354,0,0.0,0.6998380571276355
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cbl-ptpn9__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__cbl-ptpn9,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.39443484,0.3027826,0,0.0,0.6153994201814603
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k3-elmsan1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k3-elmsan1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,-0.29935774,0.6496789,0,0.0,1.2904284149457268
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cldn6__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__cldn6,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.5076951,0.24615246,1,1.0,0.5013879213474437
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3b__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3b,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.4108656,0.29456723,0,0.0,0.6013474842296526
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__arrdc3__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__arrdc3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.32623872,0.33688062,0,0.0,0.6789118867781685
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__elmsan1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__elmsan1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,-0.21030016,0.6051501,0,0.0,1.2096238403805095
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ptpn12-ubash3a__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__ptpn12-ubash3a,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.4429227,0.27853864,0,0.0,0.569600799540793
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__col2a1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__col2a1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.27899098,0.3605045,0,0.0,0.7023273336297984
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__mapk1-prtg__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__mapk1-prtg,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.2539884,0.3730058,0,0.0,0.7507039825296911
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__klf1-map2k6__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__klf1-map2k6,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,-0.10703384,0.5535169,0,0.0,1.099989415826929
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__set-klf1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__set-klf1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.15961252,0.42019373,0,0.0,0.8507375926957743
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ets2-igdcc3__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__ets2-igdcc3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.30516312,0.34741843,0,0.0,0.7015660218735431
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__zbtb25__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__zbtb25,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.24700406,0.37649798,0,0.0,0.7598282000110763
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__csrnp1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__csrnp1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,-0.2626887,0.6313443,0,0.0,1.258136396723107
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__snai1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__snai1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.4248167,0.28759164,0,0.0,0.5754461226487073
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3b-ubash3a__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3b-ubash3a,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.47792986,0.26103508,0,1.0,0.5314973758124395
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__nit1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__nit1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.45755386,0.27122307,0,1.0,0.5520181766616465
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__spi1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__spi1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.60099417,0.19950294,1,1.0,0.4072260476733583
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cbl-ptpn12__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__cbl-ptpn12,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.4168462,0.29157692,0,0.0,0.5926158083139363
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__foxa3__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__foxa3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.55015576,0.22492212,1,1.0,0.4548016339805061
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3b-zbtb25__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3b-zbtb25,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.4772296,0.2613852,0,1.0,0.5303431925623923
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3b-ptpn12__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3b-ptpn12,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.41615215,0.29192394,0,0.0,0.5929409126819525
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__foxl2__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__foxl2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.46316952,0.2684152,0,1.0,0.5390033530431253
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3a__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__ubash3a,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.3506385,0.32468075,0,0.0,0.6558487281923024
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ptpn1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__ptpn1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.48157242,0.2592138,0,1.0,0.5312492113561855
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ptpn12-zbtb25__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__ptpn12-zbtb25,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.44372895,0.27813554,0,0.0,0.5673609520242832
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__map7d1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__map7d1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,-0.15650636,0.57825315,0,0.0,1.151156032033291
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k3__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,-0.32465714,0.6623286,0,0.0,1.3186998515026451
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__klf1-bak1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__klf1-bak1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,-0.1120763,0.55603814,0,0.0,1.1089565506140426
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__igdcc3-zbtb25__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__igdcc3-zbtb25,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.45041287,0.27479357,0,1.0,0.5549896998426422
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cebpe-cnn1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__cebpe-cnn1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.48410106,0.25794947,0,1.0,0.5225535182977172
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__mapk1-tgfbr2__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__mapk1-tgfbr2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.23530802,0.38234597,0,0.0,0.7649616488181233
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__irf1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__irf1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.26153457,0.3692327,0,0.0,0.7493907825326883
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__mapk1-ikzf3__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__mapk1-ikzf3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.4631757,0.2684121,0,1.0,0.536855081472575
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ikzf3__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__ikzf3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.6028977,0.19855118,1,1.0,0.4033470144144642
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cnn1-mapk1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__cnn1-mapk1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.3353465,0.33232677,0,0.0,0.6655137523474149
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ptpn12__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__ptpn12,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.25829628,0.37085187,0,0.0,0.7433936972716607
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__prtg__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__prtg,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.42630818,0.28684592,0,0.0,0.5825107156247342
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__fosb__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__fosb,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.22423135,0.38788432,0,0.0,0.7800677265787039
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__tgfbr2-c19orf26__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__tgfbr2-c19orf26,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.3631903,0.31840485,0,0.0,0.6427202021560117
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__igdcc3__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__igdcc3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.45041376,0.27479315,0,1.0,0.5596231110880403
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__col1a1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__col1a1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.36840203,0.315799,0,0.0,0.6069461041833217
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__kmt2a__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__kmt2a,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.33550426,0.33224785,0,0.0,0.6635440892281195
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__bpgm__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__bpgm,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.2597413,0.37012935,0,0.0,0.7504308914679028
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k3-ikzf3__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k3-ikzf3,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.34268066,0.32865965,0,0.0,0.6611204653045106
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__hk2__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__hk2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.19607747,0.40196127,0,0.0,0.8071234861576814
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__klf1-col2a1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__klf1-col2a1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.19210638,0.40394682,0,0.0,0.7852601603391554
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__sgk1-tbx2__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__sgk1-tbx2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.5029331,0.24853349,1,1.0,0.5028933477770479
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__bcl2l11-tgfbr2__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__bcl2l11-tgfbr2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.0657272,0.46713638,0,0.0,0.935665652131466
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k6__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__map2k6,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,-0.24259524,0.6212976,0,0.0,1.2380028364625963
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__ets2-cnn1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__ets2-cnn1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.36403513,0.31798244,0,0.0,0.6445101549105827
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__cebpe-klf1__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__cebpe-klf1,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,-0.15418212,0.5770911,0,0.0,1.1495435418856268
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__plk4-stil__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__plk4-stil,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.078668,0.460666,0,0.0,0.9221037050441612
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__set-cebpe__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__set-cebpe,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.29896268,0.35051864,0,0.0,0.7129017066381047
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__kiaa1804__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__kiaa1804,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.19953594,0.40023202,0,0.0,0.7998573366357846
pred__bio__env-normanweissman2019-filtered-k562-rna-baseline__klf1-tgfbr2__mean-global__dataset-heldout-split__ensemble3,bio__env-normanweissman2019-filtered-k562-rna-baseline__klf1-tgfbr2,env__normanweissman2019-filtered__k562__rna__baseline,mean_global,0.09402849,0.45298576,0,0.0,0.9093380492115563
